date,symbol,trade_type,entry_time,entry_price,exit_time,exit_price,pnl_percent,exit_reason
2024-01-01,AARTIIND,buy,2024-01-01 09:20:00,653.0,2024-01-01 09:25:00,651.3675000000001,-0.25,Stop Loss Hit
2024-01-01,AARTIIND,buy,2024-01-01 09:40:00,654.3,2024-01-01 09:55:00,652.66425,-0.25,Stop Loss Hit
2024-01-01,AARTIIND,buy,2024-01-01 12:40:00,654.2,2024-01-01 13:50:00,652.5645000000001,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,buy,2024-01-02 09:20:00,655.35,2024-01-02 09:25:00,653.711625,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,buy,2024-01-02 09:30:00,658.1,2024-01-02 09:35:00,656.4547500000001,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,buy,2024-01-02 09:35:00,657.9,2024-01-02 09:45:00,656.25525,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,buy,2024-01-02 09:45:00,656.95,2024-01-02 09:55:00,655.307625,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,sell,2024-01-02 09:55:00,651.7,2024-01-02 10:05:00,653.32925,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,sell,2024-01-02 10:10:00,651.8,2024-01-02 10:25:00,648.5409999999999,0.5,Target Hit
2024-01-02,AARTIIND,sell,2024-01-02 10:25:00,646.8,2024-01-02 10:30:00,648.4169999999999,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,sell,2024-01-02 10:30:00,649.65,2024-01-02 10:40:00,646.40175,0.5,Target Hit
2024-01-02,AARTIIND,sell,2024-01-02 10:40:00,649.5,2024-01-02 10:45:00,651.12375,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,sell,2024-01-02 10:45:00,651.8,2024-01-02 11:35:00,653.4295,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,sell,2024-01-02 11:35:00,653.8,2024-01-02 12:15:00,655.4345,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,buy,2024-01-02 14:15:00,658.7,2024-01-02 14:35:00,657.05325,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,buy,2024-01-02 14:35:00,659.0,2024-01-02 14:50:00,657.3525000000001,-0.25,Stop Loss Hit
2024-01-02,AARTIIND,buy,2024-01-02 14:50:00,655.35,2024-01-02 15:15:00,655.35,0.0,Time Exit (15:15)
2024-01-03,AARTIIND,sell,2024-01-03 09:20:00,650.65,2024-01-03 09:35:00,647.39675,0.5,Target Hit
2024-01-03,AARTIIND,sell,2024-01-03 09:35:00,647.9,2024-01-03 09:40:00,644.6605,0.5,Target Hit
2024-01-03,AARTIIND,sell,2024-01-03 09:40:00,646.0,2024-01-03 09:45:00,647.615,-0.25,Stop Loss Hit
2024-01-03,AARTIIND,sell,2024-01-03 09:45:00,646.8,2024-01-03 09:50:00,648.4169999999999,-0.25,Stop Loss Hit
2024-01-03,AARTIIND,sell,2024-01-03 09:50:00,649.75,2024-01-03 10:00:00,646.50125,0.5,Target Hit
2024-01-03,AARTIIND,sell,2024-01-03 10:00:00,648.35,2024-01-03 10:05:00,649.970875,-0.25,Stop Loss Hit
2024-01-03,AARTIIND,sell,2024-01-03 10:05:00,651.15,2024-01-03 10:15:00,652.777875,-0.25,Stop Loss Hit
2024-01-03,AARTIIND,sell,2024-01-03 10:20:00,652.0,2024-01-03 10:25:00,653.63,-0.25,Stop Loss Hit
2024-01-04,AARTIIND,buy,2024-01-04 09:20:00,654.25,2024-01-04 09:25:00,652.614375,-0.25,Stop Loss Hit
2024-01-04,AARTIIND,sell,2024-01-04 09:25:00,649.85,2024-01-04 09:30:00,651.474625,-0.25,Stop Loss Hit
2024-01-04,AARTIIND,sell,2024-01-04 09:30:00,649.75,2024-01-04 09:35:00,651.374375,-0.25,Stop Loss Hit
2024-01-04,AARTIIND,sell,2024-01-04 09:35:00,651.4,2024-01-04 10:00:00,648.143,0.5,Target Hit
2024-01-04,AARTIIND,sell,2024-01-04 10:00:00,649.7,2024-01-04 10:10:00,651.32425,-0.25,Stop Loss Hit
2024-01-04,AARTIIND,sell,2024-01-04 10:10:00,651.65,2024-01-04 10:55:00,648.39175,0.5,Target Hit
2024-01-04,AARTIIND,sell,2024-01-04 10:55:00,649.45,2024-01-04 11:20:00,646.20275,0.5,Target Hit
2024-01-04,AARTIIND,sell,2024-01-04 11:20:00,647.0,2024-01-04 12:00:00,643.765,0.5,Target Hit
2024-01-04,AARTIIND,sell,2024-01-04 12:00:00,643.45,2024-01-04 12:20:00,645.058625,-0.25,Stop Loss Hit
2024-01-04,AARTIIND,sell,2024-01-04 12:20:00,644.95,2024-01-04 13:20:00,646.562375,-0.25,Stop Loss Hit
2024-01-04,AARTIIND,sell,2024-01-04 13:20:00,647.6,2024-01-04 13:55:00,649.2189999999999,-0.25,Stop Loss Hit
2024-01-04,AARTIIND,sell,2024-01-04 13:55:00,649.05,2024-01-04 14:30:00,645.8047499999999,0.5,Target Hit
2024-01-04,AARTIIND,sell,2024-01-04 14:30:00,646.4,2024-01-04 15:15:00,644.0,0.37,Time Exit (15:15)
2024-01-04,AARTIIND,sell,2024-01-04 15:15:00,644.0,2024-01-04 15:20:00,644.3,-0.05,Time Exit (15:15)
2024-01-04,AARTIIND,sell,2024-01-04 15:20:00,644.3,2024-01-04 15:25:00,644.0,0.05,Time Exit (15:15)
2024-01-05,AARTIIND,sell,2024-01-05 09:20:00,646.0,2024-01-05 10:15:00,642.77,0.5,Target Hit
2024-01-05,AARTIIND,sell,2024-01-05 10:15:00,640.85,2024-01-05 10:40:00,637.64575,0.5,Target Hit
2024-01-05,AARTIIND,sell,2024-01-05 10:40:00,637.65,2024-01-05 10:50:00,634.4617499999999,0.5,Target Hit
2024-01-05,AARTIIND,sell,2024-01-05 10:50:00,634.95,2024-01-05 10:55:00,636.537375,-0.25,Stop Loss Hit
2024-01-05,AARTIIND,sell,2024-01-05 10:55:00,636.95,2024-01-05 11:30:00,633.76525,0.5,Target Hit
2024-01-05,AARTIIND,sell,2024-01-05 11:30:00,633.55,2024-01-05 12:30:00,630.38225,0.5,Target Hit
2024-01-05,AARTIIND,sell,2024-01-05 12:30:00,630.85,2024-01-05 13:30:00,632.4271249999999,-0.25,Stop Loss Hit
2024-01-05,AARTIIND,sell,2024-01-05 13:30:00,631.5,2024-01-05 13:55:00,628.3425,0.5,Target Hit
2024-01-05,AARTIIND,sell,2024-01-05 13:55:00,629.95,2024-01-05 14:05:00,626.80025,0.5,Target Hit
2024-01-05,AARTIIND,sell,2024-01-05 14:05:00,626.15,2024-01-05 14:15:00,623.0192499999999,0.5,Target Hit
2024-01-05,AARTIIND,sell,2024-01-05 14:15:00,623.6,2024-01-05 14:20:00,625.159,-0.25,Stop Loss Hit
2024-01-05,AARTIIND,sell,2024-01-05 14:20:00,624.8,2024-01-05 14:30:00,626.362,-0.25,Stop Loss Hit
2024-01-05,AARTIIND,sell,2024-01-05 14:30:00,626.95,2024-01-05 14:40:00,628.517375,-0.25,Stop Loss Hit
2024-01-05,AARTIIND,sell,2024-01-05 14:40:00,628.4,2024-01-05 15:00:00,629.9709999999999,-0.25,Stop Loss Hit
2024-01-05,AARTIIND,sell,2024-01-05 15:00:00,629.05,2024-01-05 15:10:00,630.622625,-0.25,Stop Loss Hit
2024-01-05,AARTIIND,sell,2024-01-05 15:10:00,629.65,2024-01-05 15:15:00,627.9,0.28,Time Exit (15:15)
2024-01-05,AARTIIND,sell,2024-01-05 15:15:00,627.9,2024-01-05 15:20:00,629.46975,-0.25,Stop Loss Hit
2024-01-05,AARTIIND,sell,2024-01-05 15:20:00,628.9,2024-01-05 15:25:00,630.0,-0.17,Time Exit (15:15)
2024-01-08,AARTIIND,sell,2024-01-08 09:20:00,618.1,2024-01-08 09:25:00,615.0095,0.5,Target Hit
2024-01-08,AARTIIND,sell,2024-01-08 09:25:00,611.8,2024-01-08 09:30:00,608.741,0.5,Target Hit
2024-01-08,AARTIIND,sell,2024-01-08 09:30:00,608.5,2024-01-08 09:45:00,605.4575,0.5,Target Hit
2024-01-08,AARTIIND,sell,2024-01-08 09:45:00,601.6,2024-01-08 09:50:00,603.104,-0.25,Stop Loss Hit
